ID,movieName,distributionCompany,releaseSeason,seasonNum,releaseMonth,releaseYear,releaseDate,totalRevenue,ticketsSold,director,genre,Genre_Enum,moreThanMil
209,7 Kocalı Hürmüz,CG.,Fall,4,11,2009,11/20/2009,3163176,372294,gülse birsel,Comedy,4,N
210,Transformers: Yenilenlerin İntikamı,UIP.,Summer,3,6,2009,6/24/2009,2845560,347065,Michael Bay,Science - Fiction ,12,N
211,Milyoner,ChF.,Winter,1,2,2009,2/27/2009,3097866,338209,Danny Boyle,Drama,6,N
212,Alacakaranlık,Tig..,Winter,1,1,2009,1/16/2009,2703980,329220,Catherine Hardwicke,Fantasy,7,N
213,Kehanet,Warner Bros.,Spring,2,4,2009,4/10/2009,2800861,327899,Alex Proyas,Fantasy,7,N
214,Bay Evet,Warner Bros.,Winter,1,1,2009,1/16/2009,3001032,327348,Peyton Reed,Comedy,4,N
215,Türkler Çıldırmış Olmalı,UIP.,Fall,4,11,2009,11/27/2009,2617506,317602,Murat aslan,Comedy,4,N
216,Gecenin Kanatları,Pin..,Winter,1,12,2009,12/11/2009,2865500,341382,Serdar Akar,Drama,6,N
217,Soysuzlar Çetesi,UIP.,Summer,3,8,2009,8/21/2009,2895934,289454,Quentin Tarantino,Crime,5,N
218,Recep İvedik,Özen.,Winter,1,2,2008,2/22/2008,30172530,4301693,Togan Gökbakar,Comedy,4,Y
219,A.R.O.G,UIP.,Winter,1,12,2008,12/5/2008,30424262,3707086,Cem yılmaz,Comedy,4,Y
220,Muro: Nalet Olsun İçimdeki İnsan Sevgisine,Özen.,Winter,1,12,2008,12/5/2008,18073564,2315902,Zübeyr Şaşmaz,Comedy,4,Y
221,Issız Adam,CF.,Fall,4,11,2008,11/7/2008,23421170,2788550,Çağan Irmak,Drama,6,Y
222,Osmanlı Cumhuriyeti,UIP.,Fall,4,11,2008,11/21/2008,11474933,1423303,Gani Müjde,Comedy,4,Y
223,Mustafa,Warner Bros.,Fall,4,10,2008,10/29/2008,8506941,1101014,Can Dündar,History,8,Y
224,120,Özen.,Winter,1,2,2008,2/15/2008,5068657,1043831,Özhan Eren,History,8,Y
225,Maskeli Beşler Kıbrıs,UIP.,Winter,1,1,2008,1/10/2008,6803574,964104,Murat Aslan,Comedy,4,N
226,Çılgın Dersane Kampta,Özen.,Winter,1,1,2008,1/10/2008,6314199,899314,Faruk Aksoy,Comedy,4,N
227,O... Çocukları,KenD.,Spring,2,5,2008,5/16/2008,5309235,713840,Murat Saraçoğlu,Drama,6,N
228,Ulak,UIP.,Winter,1,1,2008,1/25/2008,3983320,523745,Çağan Irmak,History,8,N
229,Kabadayı,UIP.,Winter,1,12,2007,12/14/2007,15334881,2002631,Ömer Vargı,Drama,6,Y
230,Testere 5,Warner Bros.,Fall,4,10,2008,10/24/2008,3894672,500256,David Hackl,Horror,9,N
231,Kara Şövalye,Warner Bros.,Summer,3,7,2008,7/25/2008,3752996,446708,Christopher nolar,Action,1,N
232,Mumya: Ejder İmparatoru'nun Mezarı,UIP.,Summer,3,8,2008,8/1/2008,3416360,446518,rob cohen,Action,1,N
233,Dünyanın Merkezine Yolculuk,MVZ.,Summer,3,7,2008,7/18/2008,4278166,437606,Eric Brevig,Adventure,2,N
234,M.Ö. 10.000,Warner Bros.,Spring,2,3,2008,3/7/2008,3237395,432171,Roland emmerich,Drama,6,N
235,Ben Efsaneyim,Warner Bros.,Winter,1,1,2008,1/25/2008,3334883,415750,Francis Lawrance,Action,1,N
236,Avanak Kuzenler,Özen.,Fall,4,9,2008,9/26/2008,2925459,394799,Oğuzhan Tercan,Comedy,4,N
237,Madagaskar 2,UIP.,Fall,4,11,2008,11/28/2008,3474438,410894,Eric Darnell,Animation,3,N
238,Aşk Tutulması,MVZ.,Fall,4,10,2008,10/24/2008,2774698,370989,Murat Şeker,Romance,11,N
239,Büyük Hazine: Sırlar Kitabı,UIP.,Winter,1,1,2008,1/4/2008,2789547,337251,Jon Turteltaub,Adventure,2,N
240,Semum,Warner Bros.,Winter,1,2,2008,2/8/2008,2248907,334168,Hasan Karacadağ,Horror,9,N
241,Indiana Jones ve Kristal Kafatası Krallığı,UIP.,Spring,2,5,2008,5/23/2008,2685294,331770,Steven Spielberg,Adventure,2,N
242,Beyaz Melek,MVZ.,Fall,4,11,2007,11/16/2007,14657214,2032885,Mahsun kırmızıgül,Drama,6,Y
243,Hancock,Warner Bros.,Summer,3,7,2008,7/4/2008,2603356,326431,Peter Berg,Comedy,4,N
244,Quantum of Solace,Warner Bros.,Fall,4,11,2008,11/7/2008,2909396,304611,Marc Forster,Action,1,N
245,Wanted,UIP.,Summer,3,6,2008,6/27/2008,2423364,300082,Timur Bekmambetov,Action,1,N
246,Iron Man,UIP.,Spring,2,5,2008,5/2/2008,2087956,261693,Jon Fevrau,Science - Fiction ,12,N
247,Beyaz Melek,MVZ.,Fall,4,11,2007,11/16/2007,14657214,2032885,Mahsun Kırmızıgül,Drama,6,Y
